value,label,,,,
314,peanut,,,,
314,peanut,,,,
314,peanut,,,,
314,peanut,,,,
314,peanut,,,,
314,peanut,,,,
314,peanut,,,,
314,peanut,,,,
314,peanut,,,,
314,peanut,,,,
314,peanut,,,,
314,peanut,,,,
315,peanut,,,,
315,peanut,,,,
315,peanut,,,,
314,peanut,,,,
314,peanut,,,,
314,peanut,,,,
314,peanut,,,,
314,peanut,,,,
314,peanut,,,,
314,peanut,,,,
314,peanut,,,,
314,peanut,,,,
314,peanut,,,,
313,peanut,,,,
314,peanut,,,,
314,peanut,,,,
313,peanut,,,,
313,peanut,,,,
314,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
314,peanut,,,,
313,peanut,,,,
314,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
314,peanut,,,,
314,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
313,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
312,peanut,,,,
310,peanut,,,,
312,peanut,,,,
310,peanut,,,,
310,peanut,,,,
310,peanut,,,,
312,peanut,,,,
312,peanut,,,,
310,peanut,,,,
312,peanut,,,,
310,peanut,,,,
312,peanut,,,,
310,peanut,,,,
310,peanut,,,,
312,peanut,,,,
310,peanut,,,,
310,peanut,,,,
310,peanut,,,,
312,peanut,,,,
310,peanut,,,,
310,peanut,,,,
310,peanut,,,,
310,peanut,,,,
310,peanut,,,,
310,peanut,,,,
310,peanut,,,,
